Что такое машинное обучение?;Раздел искусственного интеллекта, изучающий алгоритмы, которые обучаются на данных и улучшают свои предсказания без явного программирования каждого шага
Какие основные типы машинного обучения существуют?;Обучение с учителем (supervised learning), обучение без учителя (unsupervised learning), обучение с подкреплением (reinforcement learning)
Что такое обучающая и тестовая выборка?;Обучающая выборка используется для обучения модели, тестовая — для проверки её качества на данных, которые модель не видела. Обычно разделение 80/20 или 70/30
Что такое переобучение (overfitting)?;Переобучение — это когда модель слишком точно запоминает обучающие данные, включая шум, и плохо обобщает на новых данных. Признак: высокая точность на обучении, низкая на тесте
Что такое нейронная сеть?;Нейронная сеть — это модель машинного обучения, состоящая из слоёв нейронов, связанных весами. Входной слой принимает данные, скрытые слои обрабатывают, выходной выдаёт результат
Какие функции активации используются в нейронных сетях?;ReLU (Rectified Linear Unit), Sigmoid, Tanh, Softmax. Они вносят нелинейность, позволяя сети обучаться сложным зависимостям
Что такое градиентный спуск (Gradient Descent)?;Алгоритм оптимизации, который минимизирует функцию потерь, двигаясь в направлении, противоположном градиенту. Используется для обновления весов модели
Что такое DataFrame в библиотеке Pandas?;DataFrame — это двумерная структура данных в Pandas, похожая на таблицу с рядами и колонками. Основной инструмент для анализа и предобработки данных в ML
Что делает библиотека scikit-learn?;Scikit-learn предоставляет готовые алгоритмы машинного обучения: линейная и логистическая регрессия, SVM, деревья решений, кластеризация, метрики оценки и предобработка данных
Что такое метрики точности (accuracy, precision, recall)?;Accuracy — доля правильных ответов. Precision — сколько из предсказанных положительных — действительно положительные. Recall — сколько реальных положительных найдено моделью
